ticker,model_name,feature_representation,target_mode,split,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
AAPL,hist_gradient_boosting,price_only,excess_direction,test,128,14,0.5390625,0.5427663734115347,0.5815602836879432,0.5151515151515151
AAPL,hist_gradient_boosting,price_plus_alt_current,excess_direction,test,128,32,0.546875,0.5478983382209188,0.5538461538461539,0.5461876832844574
AAPL,hist_gradient_boosting,price_plus_alt_surprise,excess_direction,test,128,33,0.4375,0.4393939393939394,0.4626865671641791,0.44281524926686217
AAPL,logreg,price_only,excess_direction,test,128,14,0.5546875,0.5554740957966764,0.5581395348837209,0.5889540566959922
AAPL,logreg,price_plus_alt_current,excess_direction,test,128,32,0.625,0.6221896383186706,0.5789473684210527,0.6031280547409579
AAPL,logreg,price_plus_alt_surprise,excess_direction,test,128,33,0.5703125,0.5696480938416422,0.5528455284552846,0.5962854349951123
ALL,hist_gradient_boosting,price_only,excess_direction,test,256,14,0.53125,0.53125,0.53125,0.5113525390625
ALL,hist_gradient_boosting,price_plus_alt_current,excess_direction,test,256,32,0.51171875,0.51171875,0.5173745173745173,0.5152587890625
ALL,hist_gradient_boosting,price_plus_alt_surprise,excess_direction,test,256,33,0.48046875,0.48046875,0.4701195219123506,0.4989013671875
ALL,logreg,price_only,excess_direction,test,256,14,0.55078125,0.55078125,0.5344129554655871,0.57708740234375
ALL,logreg,price_plus_alt_current,excess_direction,test,256,32,0.5625,0.5625,0.5254237288135594,0.575439453125
ALL,logreg,price_plus_alt_surprise,excess_direction,test,256,33,0.53515625,0.53515625,0.5333333333333333,0.57049560546875
TSLA,hist_gradient_boosting,price_only,excess_direction,test,128,14,0.5234375,0.5271260997067448,0.46956521739130436,0.5266373411534702
TSLA,hist_gradient_boosting,price_plus_alt_current,excess_direction,test,128,32,0.4765625,0.4767839687194526,0.4806201550387597,0.49486803519061584
TSLA,hist_gradient_boosting,price_plus_alt_surprise,excess_direction,test,128,33,0.5234375,0.5266373411534702,0.47863247863247865,0.5579178885630498
TSLA,logreg,price_only,excess_direction,test,128,14,0.546875,0.5498533724340176,0.5084745762711864,0.5669599217986315
TSLA,logreg,price_plus_alt_current,excess_direction,test,128,32,0.5,0.5019550342130987,0.47540983606557374,0.5234604105571847
TSLA,logreg,price_plus_alt_surprise,excess_direction,test,128,33,0.5,0.4995112414467253,0.5151515151515151,0.531524926686217
AAPL,hist_gradient_boosting,price_only,excess_direction,train,623,14,0.9069020866773676,0.9064234284417487,0.9107692307692308,0.9554166408780508
AAPL,hist_gradient_boosting,price_plus_alt_current,excess_direction,train,623,32,0.9582664526484751,0.9578356130469765,0.96,0.9926863485383012
AAPL,hist_gradient_boosting,price_plus_alt_surprise,excess_direction,train,623,33,0.9582664526484751,0.9580316065276144,0.9597523219814241,0.9949041695034144
AAPL,logreg,price_only,excess_direction,train,623,14,0.5521669341894061,0.5515050236223722,0.5687789799072643,0.5859379835365476
AAPL,logreg,price_plus_alt_current,excess_direction,train,623,32,0.6003210272873194,0.5996059499494543,0.6163328197226502,0.6493470322460853
AAPL,logreg,price_plus_alt_surprise,excess_direction,train,623,33,0.5906902086677368,0.5903581522972499,0.6021840873634945,0.6315425718470838
ALL,hist_gradient_boosting,price_only,excess_direction,train,1246,14,0.8964686998394864,0.8964686998394864,0.8957154405820533,0.9579160536831828
ALL,hist_gradient_boosting,price_plus_alt_current,excess_direction,train,1246,32,0.9646869983948636,0.9646869983948636,0.9649122807017544,0.9936335599761935
ALL,hist_gradient_boosting,price_plus_alt_surprise,excess_direction,train,1246,33,0.9630818619582665,0.9630818619582664,0.962843295638126,0.9949552854849806
ALL,logreg,price_only,excess_direction,train,1246,14,0.5634028892455859,0.5634028892455859,0.5555555555555556,0.5895771766603372
ALL,logreg,price_plus_alt_current,excess_direction,train,1246,32,0.593900481540931,0.593900481540931,0.5977742448330684,0.6414491058385228
ALL,logreg,price_plus_alt_surprise,excess_direction,train,1246,33,0.5995184590690209,0.5995184590690208,0.5998396150761829,0.6357757343563609
TSLA,hist_gradient_boosting,price_only,excess_direction,train,623,14,0.8860353130016051,0.8850962431144396,0.879045996592845,0.961182975387345
TSLA,hist_gradient_boosting,price_plus_alt_current,excess_direction,train,623,32,0.971107544141252,0.9710806461595594,0.9701986754966887,0.9948732231643663
TSLA,hist_gradient_boosting,price_plus_alt_surprise,excess_direction,train,623,33,0.9678972712680578,0.9672794041798188,0.9662162162162162,0.9954302572672319
TSLA,logreg,price_only,excess_direction,train,623,14,0.5746388443017657,0.5729198902436508,0.5407279029462738,0.5907243506426523
TSLA,logreg,price_plus_alt_current,excess_direction,train,623,32,0.5874799357945425,0.587340884240061,0.5779967159277504,0.632058344164552
TSLA,logreg,price_plus_alt_surprise,excess_direction,train,623,33,0.608346709470305,0.6080800891254564,0.5973597359735974,0.639351364733552
AAPL,hist_gradient_boosting,price_only,raw_direction,test,128,14,0.546875,0.5339901477832512,0.618421052631579,0.5527093596059113
AAPL,hist_gradient_boosting,price_plus_alt_current,raw_direction,test,128,32,0.5078125,0.5056650246305419,0.5401459854014599,0.5088669950738915
AAPL,hist_gradient_boosting,price_plus_alt_surprise,raw_direction,test,128,33,0.5,0.4926108374384236,0.5555555555555556,0.48793103448275865
AAPL,logreg,price_only,raw_direction,test,128,14,0.5078125,0.5115763546798029,0.5116279069767442,0.4970443349753695
AAPL,logreg,price_plus_alt_current,raw_direction,test,128,32,0.5,0.5088669950738917,0.47540983606557374,0.511576354679803
AAPL,logreg,price_plus_alt_surprise,raw_direction,test,128,33,0.5078125,0.5189655172413794,0.47058823529411764,0.5022167487684729
ALL,hist_gradient_boosting,price_only,raw_direction,test,256,14,0.5625,0.5585685297915514,0.6,0.5562319375269015
ALL,hist_gradient_boosting,price_plus_alt_current,raw_direction,test,256,32,0.51953125,0.5203529484105024,0.5358490566037736,0.5202607145053189
ALL,hist_gradient_boosting,price_plus_alt_surprise,raw_direction,test,256,33,0.53125,0.5284387874315932,0.5652173913043478,0.5261636844370658
ALL,logreg,price_only,raw_direction,test,256,14,0.5546875,0.5608436327860788,0.544,0.559859804464121
ALL,logreg,price_plus_alt_current,raw_direction,test,256,32,0.4921875,0.4965258562380865,0.4881889763779528,0.5101149849351287
ALL,logreg,price_plus_alt_surprise,raw_direction,test,256,33,0.5234375,0.5266555985980447,0.5271317829457365,0.526901555678534
TSLA,hist_gradient_boosting,price_only,raw_direction,test,128,14,0.578125,0.5816752640628838,0.578125,0.5698845492507983
TSLA,hist_gradient_boosting,price_plus_alt_current,raw_direction,test,128,32,0.53125,0.5345124048145419,0.53125,0.5330385654630312
TSLA,hist_gradient_boosting,price_plus_alt_surprise,raw_direction,test,128,33,0.5625,0.5634979120609187,0.5757575757575758,0.5615327929255711
TSLA,logreg,price_only,raw_direction,test,128,14,0.6015625,0.6095553917956276,0.5785123966942148,0.6187668877425694
TSLA,logreg,price_plus_alt_current,raw_direction,test,128,32,0.484375,0.4848931466470155,0.5,0.5138786538933923
TSLA,logreg,price_plus_alt_surprise,raw_direction,test,128,33,0.5390625,0.5356177843281749,0.5755395683453237,0.552689756816507
AAPL,hist_gradient_boosting,price_only,raw_direction,train,623,14,0.8828250401284109,0.8745626822157434,0.8998628257887518,0.9634943773427738
AAPL,hist_gradient_boosting,price_plus_alt_current,raw_direction,train,623,32,0.9646869983948636,0.9620262390670554,0.9685714285714285,0.9964598084131612
AAPL,hist_gradient_boosting,price_plus_alt_surprise,raw_direction,train,623,33,0.9534510433386838,0.9505102040816327,0.9586305278174037,0.9941378592253228
AAPL,logreg,price_only,raw_direction,train,623,14,0.5345104333868379,0.5352769679300291,0.5552147239263804,0.5739691795085381
AAPL,logreg,price_plus_alt_current,raw_direction,train,623,32,0.5666131621187801,0.5680393586005832,0.5846153846153846,0.6170553935860058
AAPL,logreg,price_plus_alt_surprise,raw_direction,train,623,33,0.6147672552166934,0.6150510204081633,0.6363636363636364,0.6374739691795085
ALL,hist_gradient_boosting,price_only,raw_direction,train,1246,14,0.8948635634028892,0.8919130128762472,0.9047272727272727,0.9619457210284438
ALL,hist_gradient_boosting,price_plus_alt_current,raw_direction,train,1246,32,0.9654895666131621,0.9643315530161884,0.9680772086117297,0.9956087235540099
ALL,hist_gradient_boosting,price_plus_alt_surprise,raw_direction,train,1246,33,0.9518459069020867,0.9507876868297934,0.9553571428571429,0.9920092742102431
ALL,logreg,price_only,raw_direction,train,1246,14,0.5425361155698234,0.5446838901999751,0.544,0.5828313253012047
ALL,logreg,price_plus_alt_current,raw_direction,train,1246,32,0.5850722311396469,0.5857605680453775,0.5964090554254489,0.6329622614168013
ALL,logreg,price_plus_alt_surprise,raw_direction,train,1246,33,0.6171749598715891,0.6177907506313915,0.6287937743190661,0.645390841717385
TSLA,hist_gradient_boosting,price_only,raw_direction,train,623,14,0.9069020866773676,0.9066194219223866,0.9102167182662538,0.9614202306533803
TSLA,hist_gradient_boosting,price_plus_alt_current,raw_direction,train,623,32,0.9662921348314607,0.9660157620020218,0.9675425038639877,0.9950279548596068
TSLA,hist_gradient_boosting,price_plus_alt_surprise,raw_direction,train,623,33,0.9502407704654896,0.950145447793526,0.9517884914463453,0.9902931649852489
TSLA,logreg,price_only,raw_direction,train,623,14,0.550561797752809,0.5522993129912731,0.5317725752508361,0.586856058261641
TSLA,logreg,price_plus_alt_current,raw_direction,train,623,32,0.6035313001605136,0.6037011821501517,0.6085578446909667,0.6455509479895195
TSLA,logreg,price_plus_alt_surprise,raw_direction,train,623,33,0.6195826645264848,0.6200614800602422,0.6208,0.6534319490004332
