training_mode,model_name,feature_set,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
pooled,logreg,alt_only,test,AAPL,128,19,0.515625,0.506896551724138,0.5753424657534246,0.5091133004926108
pooled,logreg,price_only,test,AAPL,128,15,0.5078125,0.4894088669950739,0.6037735849056604,0.47216748768472905
pooled,logreg,price_plus_alt,test,AAPL,128,33,0.484375,0.4812807881773399,0.5217391304347826,0.4827586206896552
pooled,random_forest,alt_only,test,AAPL,128,19,0.5078125,0.4997536945812808,0.5655172413793104,0.5211822660098523
pooled,random_forest,price_only,test,AAPL,128,15,0.5390625,0.5312807881773399,0.593103448275862,0.5615763546798029
pooled,random_forest,price_plus_alt,test,AAPL,128,33,0.5625,0.5527093596059114,0.6216216216216216,0.5524630541871921
pooled,logreg,alt_only,test,ALL,256,19,0.46484375,0.46864047223759453,0.4627450980392157,0.4692861095738794
pooled,logreg,price_only,test,ALL,256,15,0.546875,0.5468855684683023,0.5671641791044776,0.5420894053987579
pooled,logreg,price_plus_alt,test,ALL,256,33,0.4765625,0.4821373670294534,0.464,0.4909303326569514
pooled,random_forest,alt_only,test,ALL,256,19,0.515625,0.5133739162516141,0.5474452554744526,0.516571358297977
pooled,random_forest,price_only,test,ALL,256,15,0.54296875,0.543288446166144,0.5617977528089888,0.5616429932976695
pooled,random_forest,price_plus_alt,test,ALL,256,33,0.578125,0.5743097829428765,0.6142857142857143,0.5471315255487917
pooled,logreg,alt_only,test,TSLA,128,19,0.4140625,0.4282731515598133,0.3119266055045872,0.4153770572340948
pooled,logreg,price_only,test,TSLA,128,15,0.5859375,0.6012036354704005,0.5137614678899083,0.6111520510930974
pooled,logreg,price_plus_alt,test,TSLA,128,33,0.46875,0.48145418816015717,0.39285714285714285,0.48833210513387376
pooled,random_forest,alt_only,test,TSLA,128,19,0.5234375,0.5260378285433555,0.5271317829457365,0.50159665929747
pooled,random_forest,price_only,test,TSLA,128,15,0.546875,0.5539179562760992,0.5245901639344263,0.5647261115205109
pooled,random_forest,price_plus_alt,test,TSLA,128,33,0.59375,0.59493981822648,0.6060606060606061,0.5445836403831983
pooled,logreg,alt_only,train,AAPL,623,19,0.5553772070626003,0.5391399416909621,0.6340819022457067,0.5354435651811745
pooled,logreg,price_only,train,AAPL,623,15,0.5425361155698234,0.5261661807580175,0.6235138705416117,0.554487713452728
pooled,logreg,price_plus_alt,train,AAPL,623,33,0.5457463884430177,0.5333454810495627,0.6139154160982264,0.5631299458558934
pooled,random_forest,alt_only,train,AAPL,623,19,0.8459069020866774,0.843002915451895,0.861671469740634,0.9214181591003748
pooled,random_forest,price_only,train,AAPL,623,15,0.8202247191011236,0.812463556851312,0.8448753462603878,0.8947625989171178
pooled,random_forest,price_plus_alt,train,AAPL,623,33,0.8603531300160514,0.8564504373177843,0.8758915834522111,0.9444814660558102
pooled,logreg,alt_only,train,ALL,1246,19,0.5481540930979133,0.5470904235498696,0.5705568268497331,0.5651083716308534
pooled,logreg,price_only,train,ALL,1246,15,0.5385232744783307,0.5378420900095227,0.5587106676899463,0.560841303357761
pooled,logreg,price_plus_alt,train,ALL,1246,33,0.5674157303370787,0.5664358464786983,0.5888634630053394,0.5936296733325053
pooled,random_forest,alt_only,train,ALL,1246,19,0.8426966292134831,0.8438159855918519,0.848531684698609,0.9186125947087318
pooled,random_forest,price_only,train,ALL,1246,15,0.8081861958266453,0.8072987827599056,0.8201655379984951,0.8847917442967747
pooled,random_forest,price_plus_alt,train,ALL,1246,33,0.862760834670947,0.8622169088726038,0.8711379050489827,0.9435680867801102
pooled,logreg,alt_only,train,TSLA,623,19,0.5409309791332263,0.5448154566648099,0.48375451263537905,0.5843184584596975
pooled,logreg,price_only,train,TSLA,623,15,0.5345104333868379,0.5387809205504323,0.46886446886446886,0.5636669348682717
pooled,logreg,price_plus_alt,train,TSLA,623,33,0.5890850722311396,0.5918384188483836,0.5570934256055363,0.6165542283014586
pooled,random_forest,alt_only,train,TSLA,623,19,0.8394863563402889,0.8413948546553609,0.8333333333333334,0.9208702110540322
pooled,random_forest,price_only,train,TSLA,623,15,0.7961476725521669,0.7976728353035836,0.7907742998352554,0.8867673454230366
pooled,random_forest,price_plus_alt,train,TSLA,623,33,0.8651685393258427,0.8658269893338284,0.865814696485623,0.9456994904169502
separate,logreg,alt_only,test,AAPL,128,18,0.5,0.5147783251231527,0.43859649122807015,0.5273399014778325
separate,logreg,price_only,test,AAPL,128,14,0.5078125,0.5115763546798029,0.5116279069767442,0.4970443349753695
separate,logreg,price_plus_alt,test,AAPL,128,32,0.5,0.5088669950738917,0.47540983606557374,0.511576354679803
separate,random_forest,alt_only,test,AAPL,128,18,0.4921875,0.49433497536945814,0.5038167938931297,0.5125615763546798
separate,random_forest,price_only,test,AAPL,128,14,0.5078125,0.5056650246305419,0.5401459854014599,0.5381773399014778
separate,random_forest,price_plus_alt,test,AAPL,128,32,0.4765625,0.48004926108374385,0.4806201550387597,0.5152709359605911
separate,logreg,alt_only,test,ALL,256,18,0.4609375,0.4657197319067823,0.4523809523809524,0.4630142040213983
separate,logreg,price_only,test,ALL,256,14,0.5546875,0.5608436327860788,0.544,0.559859804464121
separate,logreg,price_plus_alt,test,ALL,256,32,0.4921875,0.4965258562380865,0.4881889763779528,0.5101149849351287
separate,random_forest,alt_only,test,ALL,256,18,0.4921875,0.49314394638135645,0.5075757575757576,0.4865031052081412
separate,random_forest,price_only,test,ALL,256,14,0.5625,0.5660087314763573,0.5658914728682171,0.5794133923630327
separate,random_forest,price_plus_alt,test,ALL,256,32,0.53125,0.5338498432023612,0.5384615384615384,0.5445489762036525
separate,logreg,alt_only,test,TSLA,128,18,0.421875,0.41832473593711617,0.463768115942029,0.41046425939572584
separate,logreg,price_only,test,TSLA,128,14,0.6015625,0.6095553917956276,0.5785123966942148,0.6187668877425694
separate,logreg,price_plus_alt,test,TSLA,128,32,0.484375,0.4848931466470155,0.5,0.5138786538933923
separate,random_forest,alt_only,test,TSLA,128,18,0.4921875,0.4921395234586097,0.5112781954887218,0.465978874969295
separate,random_forest,price_only,test,TSLA,128,14,0.6171875,0.6252763448784082,0.5950413223140496,0.6111520510930974
separate,random_forest,price_plus_alt,test,TSLA,128,32,0.5859375,0.5876934414148858,0.5954198473282443,0.5661999508720216
separate,logreg,alt_only,train,AAPL,623,18,0.5617977528089888,0.5623542274052478,0.583206106870229,0.5708663057059559
separate,logreg,price_only,train,AAPL,623,14,0.5345104333868379,0.5352769679300291,0.5552147239263804,0.5739691795085381
separate,logreg,price_plus_alt,train,AAPL,623,32,0.5666131621187801,0.5680393586005832,0.5846153846153846,0.6170553935860058
separate,random_forest,alt_only,train,AAPL,623,18,0.9069020866773676,0.9062682215743441,0.9152046783625731,0.9742503123698459
separate,random_forest,price_only,train,AAPL,623,14,0.8812199036918138,0.877368804664723,0.8945868945868946,0.9300291545189504
separate,random_forest,price_plus_alt,train,AAPL,623,32,0.9614767255216693,0.9600947521865889,0.9653179190751445,0.9907642648896294
separate,logreg,alt_only,train,ALL,1246,18,0.5706260032102729,0.5714636898107895,0.5810493343774471,0.589344491367532
separate,logreg,price_only,train,ALL,1246,14,0.5425361155698234,0.5446838901999751,0.544,0.5828313253012047
separate,logreg,price_plus_alt,train,ALL,1246,32,0.5850722311396469,0.5857605680453775,0.5964090554254489,0.6329622614168013
separate,random_forest,alt_only,train,ALL,1246,18,0.8932584269662921,0.8935898232103672,0.8987052551408987,0.9615291061151824
separate,random_forest,price_only,train,ALL,1246,14,0.8378812199036918,0.8376004016064258,0.8469696969696969,0.9041992713120524
separate,random_forest,price_plus_alt,train,ALL,1246,32,0.9101123595505618,0.9096152651844491,0.9157894736842105,0.9676567093114727
separate,logreg,alt_only,train,TSLA,623,18,0.579454253611557,0.5800427059478863,0.5787781350482315,0.6057849023127231
separate,logreg,price_only,train,TSLA,623,14,0.550561797752809,0.5522993129912731,0.5317725752508361,0.586856058261641
separate,logreg,price_plus_alt,train,TSLA,623,32,0.6035313001605136,0.6037011821501517,0.6085578446909667,0.6455509479895195
separate,random_forest,alt_only,train,TSLA,623,18,0.8796147672552167,0.8801396711435704,0.8807631160572337,0.9486806544119165
separate,random_forest,price_only,train,TSLA,623,14,0.7945425361155698,0.795527222462916,0.7928802588996764,0.8851993975779332
separate,random_forest,price_plus_alt,train,TSLA,623,32,0.8587479935794543,0.8588124858162612,0.8620689655172413,0.9456994904169502
