ticker,fold,model_name,feature_set,n_train_rows,n_validation_rows,decision_threshold,threshold_tuned,validation_rows_inner,validation_balanced_accuracy_inner,accuracy,balanced_accuracy,f1,roc_auc
AAPL,1,hist_gradient_boosting,price_only,371,63,0.5,False,0,,0.5396825396825397,0.532051282051282,0.6027397260273972,0.5373931623931624
AAPL,1,hist_gradient_boosting,price_plus_selected_alt,371,63,0.5,False,0,,0.6666666666666666,0.6346153846153846,0.7407407407407407,0.6057692307692307
AAPL,1,logreg,price_only,371,63,0.5,False,0,,0.5079365079365079,0.5064102564102564,0.5633802816901409,0.5288461538461539
AAPL,1,logreg,price_plus_selected_alt,371,63,0.5,False,0,,0.47619047619047616,0.46474358974358976,0.547945205479452,0.49786324786324787
AAPL,1,mlp_small,price_only,371,63,0.48,True,74,0.4796934865900383,0.6190476190476191,0.516025641025641,0.7551020408163265,0.5673076923076923
AAPL,1,mlp_small,price_plus_selected_alt,371,63,0.3,True,74,0.5,0.6190476190476191,0.5,0.7647058823529411,0.4294871794871795
AAPL,1,random_forest,price_only,371,63,0.5,False,0,,0.5714285714285714,0.5817307692307692,0.6086956521739131,0.5641025641025641
AAPL,1,random_forest,price_plus_selected_alt,371,63,0.5,False,0,,0.5396825396825397,0.5400641025641025,0.5915492957746479,0.5726495726495726
AAPL,1,svm_rbf,price_only,371,63,0.54,True,74,0.5038314176245211,0.5555555555555556,0.5368589743589743,0.631578947368421,0.5181623931623931
AAPL,1,svm_rbf,price_plus_selected_alt,371,63,0.3,True,74,0.5,0.6190476190476191,0.5,0.7647058823529411,0.4893162393162393
AAPL,2,hist_gradient_boosting,price_only,434,63,0.5,False,0,,0.4444444444444444,0.4146739130434783,0.5454545454545454,0.4271739130434783
AAPL,2,hist_gradient_boosting,price_plus_selected_alt,434,63,0.5,False,0,,0.4603174603174603,0.4364130434782609,0.5526315789473685,0.4815217391304348
AAPL,2,logreg,price_only,434,63,0.5,False,0,,0.4444444444444444,0.4608695652173913,0.47761194029850745,0.4326086956521739
AAPL,2,logreg,price_plus_selected_alt,434,63,0.5,False,0,,0.49206349206349204,0.5076086956521739,0.5294117647058824,0.4706521739130435
AAPL,2,mlp_small,price_only,434,63,0.51,True,87,0.6082386363636363,0.5555555555555556,0.5114130434782609,0.6585365853658537,0.49130434782608695
AAPL,2,mlp_small,price_plus_selected_alt,434,63,0.63,True,87,0.5178977272727272,0.42857142857142855,0.5407608695652174,0.21739130434782608,0.5108695652173912
AAPL,2,random_forest,price_only,434,63,0.5,False,0,,0.47619047619047616,0.4581521739130435,0.56,0.45543478260869563
AAPL,2,random_forest,price_plus_selected_alt,434,63,0.5,False,0,,0.5238095238095238,0.5141304347826088,0.5945945945945946,0.48695652173913045
AAPL,2,svm_rbf,price_only,434,63,0.53,True,87,0.5079545454545454,0.6825396825396826,0.5929347826086957,0.7872340425531915,0.5934782608695652
AAPL,2,svm_rbf,price_plus_selected_alt,434,63,0.55,True,87,0.5673295454545455,0.5079365079365079,0.5201086956521739,0.5507246376811594,0.5793478260869566
AAPL,3,hist_gradient_boosting,price_only,497,63,0.5,False,0,,0.5079365079365079,0.5428571428571428,0.6075949367088608,0.5428571428571428
AAPL,3,hist_gradient_boosting,price_plus_selected_alt,497,63,0.5,False,0,,0.4444444444444444,0.47857142857142854,0.5569620253164557,0.5346938775510204
AAPL,3,logreg,price_only,497,63,0.5,False,0,,0.4444444444444444,0.4464285714285714,0.4262295081967213,0.45306122448979586
AAPL,3,logreg,price_plus_selected_alt,497,63,0.5,False,0,,0.4603174603174603,0.46785714285714286,0.46875,0.5183673469387755
AAPL,3,mlp_small,price_only,497,63,0.49,True,99,0.5330025884383089,0.5396825396825397,0.5642857142857143,0.6027397260273972,0.5091836734693878
AAPL,3,mlp_small,price_plus_selected_alt,497,63,0.62,True,99,0.5399050905953409,0.49206349206349204,0.45357142857142857,0.15789473684210525,0.3979591836734694
AAPL,3,random_forest,price_only,497,63,0.5,False,0,,0.47619047619047616,0.5071428571428571,0.5714285714285714,0.503061224489796
AAPL,3,random_forest,price_plus_selected_alt,497,63,0.5,False,0,,0.4603174603174603,0.4785714285714286,0.5142857142857142,0.5163265306122449
AAPL,3,svm_rbf,price_only,497,63,0.59,True,99,0.5114322691975841,0.5396825396825397,0.5035714285714286,0.2564102564102564,0.5816326530612245
AAPL,3,svm_rbf,price_plus_selected_alt,497,63,0.56,True,99,0.5306298533218292,0.47619047619047616,0.4857142857142857,0.49230769230769234,0.46836734693877546
AAPL,4,hist_gradient_boosting,price_only,560,63,0.5,False,0,,0.5079365079365079,0.4934077079107505,0.5974025974025974,0.5101419878296146
AAPL,4,hist_gradient_boosting,price_plus_selected_alt,560,63,0.5,False,0,,0.5238095238095238,0.5081135902636917,0.6153846153846154,0.5050709939148073
AAPL,4,logreg,price_only,560,63,0.5,False,0,,0.5873015873015873,0.5796146044624747,0.6388888888888888,0.6014198782961461
AAPL,4,logreg,price_plus_selected_alt,560,63,0.5,False,0,,0.5555555555555556,0.552738336713996,0.5882352941176471,0.6217038539553752
AAPL,4,mlp_small,price_only,560,63,0.5,True,112,0.5406140070354973,0.5555555555555556,0.5299188640973631,0.6744186046511628,0.5517241379310345
AAPL,4,mlp_small,price_plus_selected_alt,560,63,0.57,True,112,0.5391749280460505,0.42857142857142855,0.42748478701825554,0.45454545454545453,0.46855983772819465
AAPL,4,random_forest,price_only,560,63,0.5,False,0,,0.49206349206349204,0.48630831643002026,0.5428571428571428,0.48884381338742394
AAPL,4,random_forest,price_plus_selected_alt,560,63,0.5,False,0,,0.49206349206349204,0.48884381338742394,0.5294117647058824,0.5324543610547667
AAPL,4,svm_rbf,price_only,560,63,0.59,True,112,0.5818676047329709,0.4444444444444444,0.4751521298174442,0.14634146341463414,0.398580121703854
AAPL,4,svm_rbf,price_plus_selected_alt,560,63,0.57,True,112,0.5639590661976335,0.4444444444444444,0.4751521298174442,0.14634146341463414,0.3874239350912779
TSLA,1,hist_gradient_boosting,price_only,371,63,0.5,False,0,,0.42857142857142855,0.4483695652173913,0.45454545454545453,0.44456521739130433
TSLA,1,hist_gradient_boosting,price_plus_selected_alt,371,63,0.5,False,0,,0.4603174603174603,0.4548913043478261,0.5277777777777778,0.44130434782608696
TSLA,1,logreg,price_only,371,63,0.5,False,0,,0.4603174603174603,0.46413043478260874,0.5142857142857142,0.5130434782608696
TSLA,1,logreg,price_plus_selected_alt,371,63,0.5,False,0,,0.42857142857142855,0.4298913043478261,0.4857142857142857,0.5152173913043478
TSLA,1,mlp_small,price_only,371,63,0.3,True,74,0.48484848484848486,0.6190476190476191,0.5244565217391304,0.7446808510638298,0.47717391304347834
TSLA,1,mlp_small,price_plus_selected_alt,371,63,0.52,True,74,0.5461936437546193,0.6666666666666666,0.5619565217391305,0.7835051546391752,0.5706521739130435
TSLA,1,random_forest,price_only,371,63,0.5,False,0,,0.49206349206349204,0.4983695652173913,0.5428571428571428,0.5021739130434782
TSLA,1,random_forest,price_plus_selected_alt,371,63,0.5,False,0,,0.4603174603174603,0.4364130434782609,0.5526315789473685,0.5206521739130434
TSLA,1,svm_rbf,price_only,371,63,0.56,True,74,0.5018477457501848,0.36507936507936506,0.5,0.0,0.542391304347826
TSLA,1,svm_rbf,price_plus_selected_alt,371,63,0.48,True,74,0.5092387287509239,0.6349206349206349,0.5,0.7766990291262136,0.4326086956521739
TSLA,2,hist_gradient_boosting,price_only,434,63,0.5,False,0,,0.4444444444444444,0.4420362903225806,0.5205479452054794,0.40120967741935487
TSLA,2,hist_gradient_boosting,price_plus_selected_alt,434,63,0.5,False,0,,0.4126984126984127,0.4092741935483871,0.5194805194805194,0.41330645161290325
TSLA,2,logreg,price_only,434,63,0.5,False,0,,0.5396825396825397,0.5388104838709677,0.5671641791044776,0.49294354838709686
TSLA,2,logreg,price_plus_selected_alt,434,63,0.5,False,0,,0.5238095238095238,0.5226814516129032,0.5588235294117647,0.4889112903225806
TSLA,2,mlp_small,price_only,434,63,0.5,True,87,0.5356756756756756,0.5714285714285714,0.5680443548387097,0.6493506493506493,0.5877016129032259
TSLA,2,mlp_small,price_plus_selected_alt,434,63,0.61,True,87,0.5791891891891892,0.5714285714285714,0.5710685483870968,0.5846153846153846,0.5625
TSLA,2,random_forest,price_only,434,63,0.5,False,0,,0.4603174603174603,0.45816532258064513,0.5277777777777778,0.4264112903225806
TSLA,2,random_forest,price_plus_selected_alt,434,63,0.5,False,0,,0.4444444444444444,0.4420362903225806,0.5205479452054794,0.42036290322580644
TSLA,2,svm_rbf,price_only,434,63,0.54,True,87,0.5348648648648648,0.49206349206349204,0.4939516129032258,0.42857142857142855,0.49193548387096775
TSLA,2,svm_rbf,price_plus_selected_alt,434,63,0.53,True,87,0.5172972972972973,0.5079365079365079,0.5,0.6736842105263158,0.5131048387096774
TSLA,3,hist_gradient_boosting,price_only,497,63,0.5,False,0,,0.6507936507936508,0.6698717948717949,0.6206896551724138,0.6474358974358975
TSLA,3,hist_gradient_boosting,price_plus_selected_alt,497,63,0.5,False,0,,0.6031746031746031,0.6233974358974359,0.576271186440678,0.5908119658119658
TSLA,3,logreg,price_only,497,63,0.5,False,0,,0.5873015873015873,0.5865384615384616,0.5185185185185185,0.561965811965812
TSLA,3,logreg,price_plus_selected_alt,497,63,0.5,False,0,,0.5714285714285714,0.5576923076923077,0.47058823529411764,0.6239316239316239
TSLA,3,mlp_small,price_only,497,63,0.63,True,99,0.615909090909091,0.4444444444444444,0.4551282051282051,0.4067796610169492,0.4732905982905983
TSLA,3,mlp_small,price_plus_selected_alt,497,63,0.61,True,99,0.5568181818181819,0.49206349206349204,0.5336538461538461,0.5151515151515151,0.5555555555555555
TSLA,3,random_forest,price_only,497,63,0.5,False,0,,0.5396825396825397,0.5560897435897436,0.5084745762711864,0.5918803418803419
TSLA,3,random_forest,price_plus_selected_alt,497,63,0.5,False,0,,0.5396825396825397,0.5560897435897436,0.5084745762711864,0.6378205128205128
TSLA,3,svm_rbf,price_only,497,63,0.52,True,99,0.5386363636363636,0.5079365079365079,0.5865384615384615,0.5866666666666667,0.5576923076923077
TSLA,3,svm_rbf,price_plus_selected_alt,497,63,0.51,True,99,0.5545454545454546,0.47619047619047616,0.5368589743589743,0.5352112676056338,0.6399572649572649
TSLA,4,hist_gradient_boosting,price_only,560,63,0.5,False,0,,0.4126984126984127,0.4106060606060606,0.44776119402985076,0.3686868686868686
TSLA,4,hist_gradient_boosting,price_plus_selected_alt,560,63,0.5,False,0,,0.42857142857142855,0.42727272727272725,0.45454545454545453,0.4222222222222223
TSLA,4,logreg,price_only,560,63,0.5,False,0,,0.42857142857142855,0.42878787878787883,0.4375,0.4181818181818182
TSLA,4,logreg,price_plus_selected_alt,560,63,0.5,False,0,,0.4444444444444444,0.44393939393939397,0.46153846153846156,0.45656565656565656
TSLA,4,mlp_small,price_only,560,63,0.44,True,112,0.5690322580645162,0.5238095238095238,0.5045454545454545,0.6666666666666666,0.5353535353535354
TSLA,4,mlp_small,price_plus_selected_alt,560,63,0.57,True,112,0.5980645161290323,0.4126984126984127,0.4106060606060606,0.44776119402985076,0.3686868686868686
TSLA,4,random_forest,price_only,560,63,0.5,False,0,,0.47619047619047616,0.47575757575757577,0.49230769230769234,0.44747474747474747
TSLA,4,random_forest,price_plus_selected_alt,560,63,0.5,False,0,,0.4603174603174603,0.4590909090909091,0.48484848484848486,0.4929292929292929
TSLA,4,svm_rbf,price_only,560,63,0.53,True,112,0.5122580645161291,0.47619047619047616,0.5,0.0,0.5272727272727272
TSLA,4,svm_rbf,price_plus_selected_alt,560,63,0.53,True,112,0.5816129032258064,0.5396825396825397,0.5469696969696969,0.4727272727272727,0.5671717171717172
